Provinsi,Tahun,NEET,P1,P2,Internet,RLS,HLS,HCLE
ACEH,2021,24.38,2.91,0.78,2.3,9.77,14.36,0.47
SUMATERA UTARA,2021,20.29,1.49,0.38,2.56,9.88,13.27,0.34
SUMATERA BARAT,2021,18.78,1,0.24,2.54,9.46,14.09,0.3
RIAU,2021,21.11,1.08,0.26,2.54,9.52,13.28,0.33
JAMBI,2021,21.76,1.19,0.27,2.32,9.03,13.04,0.39
SUMATERA SELATAN,2021,25.38,2.3,0.59,2.41,8.78,12.54,0.47
BENGKULU,2021,22.75,2.51,0.59,2.3,9.26,13.67,0.45
LAMPUNG,2021,22.09,1.87,0.4,2.4,8.56,12.73,0.43
KEP. BANGKA BELITUNG,2021,24.38,0.59,0.11,2.34,8.54,12.17,0.4
KEP. RIAU,2021,16.42,1.01,0.25,2.77,10.38,12.98,0.25
DKI JAKARTA,2021,20.47,0.7,0.16,2.83,11.2,13.07,0.23
JAWA BARAT,2021,26.44,1.38,0.35,2.56,9.03,12.61,0.4
JAWA TENGAH,2021,20.32,1.93,0.46,2.45,8.26,12.77,0.43
DI YOGYAKARTA,2021,9.89,2.24,0.59,2.61,10.04,15.64,0.28
JAWA TIMUR,2021,20.77,1.71,0.38,2.37,8.37,13.36,0.42
BANTEN,2021,26.52,1.15,0.3,2.61,9.29,13.02,0.37
BALI,2021,14.52,0.72,0.16,2.67,9.45,13.4,0.26
NUSA TENGGARA BARAT,2021,20.78,2.37,0.56,2.17,8.13,13.9,0.48
NUSA TENGGARA TIMUR,2021,18.97,4.38,1.25,2.37,8.2,13.2,0.57
KALIMANTAN BARAT,2021,24.74,1.03,0.24,2.43,8,12.65,0.41
KALIMANTAN TENGAH,2021,23.92,0.73,0.16,2.39,9.03,12.74,0.37
KALIMANTAN SELATAN,2021,20.54,0.61,0.12,2.52,8.74,12.81,0.33
KALIMANTAN TIMUR,2021,21.56,1.13,0.29,2.81,10.09,13.81,0.27
KALIMANTAN UTARA,2021,19.8,0.88,0.18,2.78,9.4,12.94,0.28
SULAWESI UTARA,2021,29.43,1.14,0.25,2.46,9.83,12.94,0.39
SULAWESI TENGAH,2021,22.31,2.34,0.63,2.31,9.18,13.23,0.46
SULAWESI SELATAN,2021,23.78,1.45,0.36,2.58,8.95,13.52,0.37
SULAWESI TENGGARA,2021,19.87,2.28,0.63,2.52,9.52,13.68,0.39
GORONTALO,2021,25.79,2.9,0.75,2.42,8.32,13.11,0.51
SULAWESI BARAT,2021,22.85,1.83,0.47,2.33,8.39,12.86,0.45
MALUKU,2021,28.64,3.54,1.06,2.51,10.25,13.97,0.5
MALUKU UTARA,2021,27.59,0.96,0.21,2.29,9.51,13.68,0.39
PAPUA BARAT,2021,21.97,5.67,2.07,2.66,10.03,13.13,0.61
PAPUA,2021,18.51,5.96,1.87,2.56,7.05,11.11,0.7
ACEH,2022,28.99,2.7,0.7,2.41,9.79,14.37,0.46
SUMATERA UTARA,2022,20.71,1.39,0.34,2.71,9.99,13.31,0.31
SUMATERA BARAT,2022,20.23,0.83,0.17,2.7,9.51,14.1,0.27
RIAU,2022,24.33,1.04,0.23,2.75,9.54,13.29,0.31
JAMBI,2022,23.86,1.18,0.25,2.57,9.07,13.05,0.36
SUMATERA SELATAN,2022,25.32,1.88,0.42,2.61,8.82,12.55,0.41
BENGKULU,2022,22.49,2.3,0.53,2.54,9.28,13.68,0.4
LAMPUNG,2022,22.63,1.76,0.4,2.58,8.61,12.74,0.4
KEP. BANGKA BELITUNG,2022,21.87,0.52,0.1,2.59,8.57,12.18,0.34
KEP. RIAU,2022,18.74,0.97,0.22,2.83,10.46,12.99,0.25
DKI JAKARTA,2022,17.19,0.73,0.18,2.93,11.3,13.08,0.19
JAWA BARAT,2022,27.85,1.28,0.31,2.66,9.14,12.62,0.38
JAWA TENGAH,2022,20.44,1.76,0.42,2.64,8.38,12.81,0.38
DI YOGYAKARTA,2022,10.7,1.77,0.4,2.89,10.07,15.65,0.2
JAWA TIMUR,2022,22.07,1.62,0.37,2.56,8.5,13.37,0.38
BANTEN,2022,27.29,0.91,0.22,2.69,9.46,13.05,0.34
BALI,2022,11.32,0.59,0.12,2.95,9.74,13.48,0.18
NUSA TENGGARA BARAT,2022,23.3,2.53,0.66,2.39,8.31,13.96,0.47
NUSA TENGGARA TIMUR,2022,18.84,3.69,0.94,2.6,8.25,13.21,0.48
KALIMANTAN BARAT,2022,24.35,1.07,0.24,2.68,8.1,12.66,0.37
KALIMANTAN TENGAH,2022,26.54,0.79,0.2,2.55,9.03,12.75,0.37
KALIMANTAN SELATAN,2022,23.57,0.63,0.14,2.66,8.89,12.82,0.33
KALIMANTAN TIMUR,2022,20.08,0.89,0.18,3.04,10.13,13.84,0.21
KALIMANTAN UTARA,2022,20.3,0.75,0.15,3.12,9.45,13.06,0.22
SULAWESI UTARA,2022,33.54,1.13,0.26,2.54,9.87,12.95,0.4
SULAWESI TENGAH,2022,23.99,2.28,0.61,2.46,9.17,13.32,0.44
SULAWESI SELATAN,2022,22.61,1.43,0.34,2.73,9.09,13.53,0.33
SULAWESI TENGGARA,2022,21.61,1.94,0.47,2.7,9.59,13.69,0.35
GORONTALO,2022,28.03,2.95,0.77,2.61,8.39,13.12,0.49
SULAWESI BARAT,2022,22.51,2.15,0.55,2.58,8.47,12.87,0.42
MALUKU,2022,30.89,2.99,0.82,2.75,10.37,14,0.43
MALUKU UTARA,2022,29.52,1.07,0.27,2.55,9.6,13.73,0.37
PAPUA BARAT,2022,26.29,5.04,1.71,2.83,10.14,13.21,0.55
PAPUA,2022,20.07,6.72,2.46,2.71,7.31,11.14,0.75
ACEH,2023,29.02,2.76,0.78,2.71,9.89,14.38,0.42
SUMATERA UTARA,2023,20.08,1.26,0.32,3.03,10.07,13.48,0.24
SUMATERA BARAT,2023,23,0.82,0.18,3,9.59,14.11,0.24
RIAU,2023,23.26,1,0.24,3.15,9.6,13.3,0.24
JAMBI,2023,22.26,1.19,0.29,2.88,9.16,13.13,0.3
SUMATERA SELATAN,2023,23.37,1.72,0.39,2.88,8.9,12.63,0.35
BENGKULU,2023,21.77,2.14,0.52,2.75,9.35,13.74,0.35
LAMPUNG,2023,22.32,1.64,0.36,2.84,8.72,12.77,0.34
KEP. BANGKA BELITUNG,2023,21.3,0.63,0.13,2.92,8.66,12.31,0.28
KEP. RIAU,2023,15.04,0.82,0.18,3.38,10.52,13.05,0.13
DKI JAKARTA,2023,15.49,0.69,0.17,3.15,11.42,13.33,0.14
JAWA BARAT,2023,25.71,1.16,0.27,2.89,9.16,12.68,0.32
JAWA TENGAH,2023,20.99,1.75,0.41,2.78,8.44,12.85,0.36
DI YOGYAKARTA,2023,10.89,1.72,0.38,2.97,10.16,15.66,0.18
JAWA TIMUR,2023,19.53,1.63,0.37,2.67,8.53,13.38,0.35
BANTEN,2023,28.8,1.2,0.36,2.91,9.48,13.09,0.33
BALI,2023,10.03,0.55,0.1,3.03,9.74,13.58,0.15
NUSA TENGGARA BARAT,2023,20.45,2.38,0.59,2.58,8.39,13.97,0.41
NUSA TENGGARA TIMUR,2023,18.13,3.33,0.8,2.77,8.31,13.22,0.43
KALIMANTAN BARAT,2023,23.55,1.03,0.24,2.84,8.17,12.67,0.34
KALIMANTAN TENGAH,2023,23.68,0.66,0.14,2.82,9.07,12.76,0.3
KALIMANTAN SELATAN,2023,21.17,0.61,0.16,2.95,8.95,12.86,0.26
KALIMANTAN TIMUR,2023,18.66,0.77,0.14,3.16,10.17,14.02,0.17
KALIMANTAN UTARA,2023,18.16,0.64,0.11,3.31,9.53,13.2,0.17
SULAWESI UTARA,2023,30.73,1.09,0.26,2.67,9.94,12.96,0.36
SULAWESI TENGAH,2023,22.39,2.12,0.54,2.71,9.22,13.33,0.38
SULAWESI SELATAN,2023,22.24,1.57,0.41,2.98,9.12,13.54,0.3
SULAWESI TENGGARA,2023,21.97,1.96,0.48,3.02,9.62,13.7,0.3
GORONTALO,2023,24.87,2.92,0.74,2.88,8.48,13.16,0.42
SULAWESI BARAT,2023,21.81,1.8,0.42,2.84,8.48,12.88,0.36
MALUKU,2023,35.38,3.08,0.86,3,10.38,14.08,0.41
MALUKU UTARA,2023,29.71,1.08,0.23,2.73,9.61,13.74,0.34
PAPUA BARAT,2023,27.98,4.94,1.71,2.74,10.14,13.34,0.57
PAPUA,2023,25.06,6.25,2.15,2.58,7.34,11.15,0.76
ACEH,2024,28.56,2.29,0.59,2.71,9.95,14.39,0.38
SUMATERA UTARA,2024,19.78,1.16,0.28,3.03,10.18,13.49,0.23
SUMATERA BARAT,2024,21.31,0.74,0.15,3,9.72,14.3,0.22
RIAU,2024,21.79,0.92,0.22,3.15,9.69,13.42,0.22
JAMBI,2024,20.71,1.19,0.34,2.88,9.26,13.14,0.29
SUMATERA SELATAN,2024,23.36,1.67,0.39,2.88,8.98,12.64,0.34
BENGKULU,2024,20.92,1.98,0.43,2.75,9.4,13.75,0.34
LAMPUNG,2024,22.53,1.64,0.37,2.84,8.8,12.78,0.34
KEP. BANGKA BELITUNG,2024,21.26,0.71,0.18,2.92,8.78,12.49,0.28
KEP. RIAU,2024,14.52,0.67,0.15,3.38,10.65,13.27,0.11
DKI JAKARTA,2024,15.19,0.6,0.12,3.15,11.49,13.51,0.12
JAWA BARAT,2024,23.49,1.13,0.27,2.89,9.24,12.8,0.31
JAWA TENGAH,2024,17.93,1.62,0.37,2.78,8.47,12.86,0.33
DI YOGYAKARTA,2024,11.18,1.72,0.4,2.97,10.23,15.7,0.18
JAWA TIMUR,2024,17.02,1.51,0.33,2.67,8.69,13.43,0.33
BANTEN,2024,23.79,0.89,0.2,2.91,9.55,13.1,0.28
BALI,2024,7.26,0.47,0.08,3.03,9.87,13.62,0.13
NUSA TENGGARA BARAT,2024,15.44,2.2,0.53,2.58,8.5,13.98,0.37
NUSA TENGGARA TIMUR,2024,17.02,3.49,0.91,2.77,8.48,13.23,0.43
KALIMANTAN BARAT,2024,21.22,0.87,0.18,2.84,8.28,12.68,0.31
KALIMANTAN TENGAH,2024,21.78,0.73,0.16,2.82,9.17,12.77,0.29
KALIMANTAN SELATAN,2024,18.69,0.53,0.11,2.95,9.02,12.87,0.24
KALIMANTAN TIMUR,2024,19.35,0.71,0.13,3.16,10.22,14.03,0.17
KALIMANTAN UTARA,2024,16.87,0.66,0.14,3.31,9.58,13.21,0.16
SULAWESI UTARA,2024,28.33,1.16,0.3,2.67,10.02,12.97,0.35
SULAWESI TENGAH,2024,20.67,1.91,0.47,2.71,9.28,13.34,0.35
SULAWESI SELATAN,2024,21.65,1.39,0.35,2.98,9.22,13.55,0.28
SULAWESI TENGGARA,2024,19.78,1.95,0.5,3.02,9.74,13.71,0.28
GORONTALO,2024,21.89,2.59,0.68,2.88,8.64,13.17,0.39
SULAWESI BARAT,2024,20.25,1.65,0.37,2.84,8.56,12.89,0.34
MALUKU,2024,29.43,2.84,0.74,3,10.44,14.09,0.36
MALUKU UTARA,2024,27.85,0.87,0.19,2.73,9.7,13.75,0.31
PAPUA BARAT,2024,26.93,4.46,1.38,2.74,9.87,13.17,0.53
PAPUA,2024,27.85,4.33,1.51,2.58,10.7,13.72,0.54
